customer_id,age,tenure_months,monthly_charges,total_charges,num_support_calls,churn
1,56,24,76.29312315051159,1911.7028082922754,0,1
2,69,65,55.207647980909854,1744.0561940765638,7,1
3,46,18,80.60646961849177,4403.829331693595,9,0
4,32,44,28.91366797454578,6752.155012697075,5,0
5,60,57,20.95860177414676,6021.077801535767,9,1
6,25,28,21.709352012035538,5815.941788838124,0,0
7,38,71,60.75429379342162,2332.800235101834,2,0
8,56,23,42.807759410306325,277.88253095555774,8,0
9,36,34,35.733770580004766,1377.811492139594,8,1
10,40,11,81.53260156181705,2860.839078999463,5,1
11,28,35,119.50950426131811,7776.3016295045845,2,0
12,28,42,37.77532036155364,7366.241917993649,7,0
13,41,28,74.64214242139388,1685.092239402184,5,0
14,53,24,31.972751399989377,5832.417576079096,0,0
15,57,8,113.4236441072139,4674.233169536714,5,0
16,41,53,49.175516857058504,493.75693569303746,4,0
17,20,4,107.83398200433784,3036.4743292588587,7,1
18,39,5,48.30764392503768,3939.9825488906304,1,0
19,19,49,100.60524801867194,5373.835574465804,6,1
20,41,30,40.93813334457727,2429.7504165141036,5,1
21,61,63,49.27894301534444,7477.167169530409,0,0
22,47,47,39.2475365403634,3669.8445479589896,7,0
23,55,26,46.425987784965564,2063.384030524024,5,1
24,19,57,103.48657553333153,2599.781889253257,2,0
25,38,37,83.90324975466974,6039.894886089817,4,1
26,50,7,60.5879668837224,5158.254403839051,6,1
27,29,40,117.15210270821562,5963.206369421662,8,1
28,39,39,66.48615271295738,2409.5004200351086,3,0
29,61,62,116.97599712588514,2682.1040861780007,1,0
30,42,53,39.65869229108602,3234.0810207512022,2,0
31,66,4,110.46384271149493,1589.8846881105314,6,1
32,44,25,21.38222040974947,5559.25190499636,7,1
33,59,7,74.53032023657575,2701.8611612150044,4,0
34,45,28,62.30523942920148,2677.2661707213365,2,0
35,33,69,72.50878454719793,2227.983262108405,0,0
36,32,67,75.34448319476991,3677.3396571412604,9,1
37,64,20,58.90313540677109,6198.611025950264,0,0
38,68,11,119.81978468860952,6701.30877312036,1,1
39,61,67,117.65071903006259,6455.612233697491,4,1
40,69,7,116.17453767045951,5007.429263133907,2,1
41,20,23,117.90850473765879,2315.377526960398,6,1
42,54,61,99.30123987693986,5905.356125886184,1,0
43,68,71,118.8590479026332,410.95933976281674,1,1
44,24,34,109.2360225275142,6405.404017752542,2,1
45,38,19,61.59326370324211,6263.7977561259395,0,0
46,26,58,98.47771083834077,5393.008794094176,1,0
47,56,9,111.20678451256258,873.611054886064,4,1
48,35,48,91.26060735870925,7978.996550673552,2,1
49,21,41,62.27823405656039,6075.632619967862,9,1
50,42,48,26.579024201642525,5904.973964962354,5,1
51,31,45,100.96969370605876,605.662034981561,1,0
52,67,25,115.27428731264703,3249.770499925899,7,0
53,26,25,56.24632602299263,780.7666972111534,3,0
54,43,19,35.19060509889396,2952.1923537914217,2,0
55,19,39,52.65038394705557,4606.835879421749,4,0
56,37,27,78.26223581782463,7043.090288017261,7,1
57,45,63,51.692900328223615,2335.208090656525,8,1
58,64,68,81.0618730196354,5024.975754609969,0,0
59,24,19,116.68522322446306,1400.7501865239644,3,1
60,61,28,87.07344933076826,2896.3144698435704,5,0
61,25,33,56.265936628562166,7583.176054367029,5,0
62,64,10,113.57529714715349,6006.36323310358,8,1
63,52,30,76.56352687011439,4411.865537078656,0,1
64,31,22,32.83723985325666,2088.4047133336767,4,0
65,34,3,69.89810051937616,3099.671258886721,9,1
66,53,48,85.36364449100499,1337.8773374348646,0,1
67,67,2,103.82543658167386,2892.390825466781,5,1
68,57,54,113.64767867076473,1289.9993276688194,8,1
69,21,6,51.74161337163852,6382.925560787803,3,1
70,19,40,35.55123640790368,737.9968105440768,9,1
71,23,2,27.382864219388242,1596.3032904761303,9,1
72,59,2,93.83546027082828,5560.217165267955,8,1
73,21,55,99.51582527154319,7229.882028122573,2,1
74,46,60,60.93731269281668,7720.273717164054,6,1
75,35,6,59.5925407173629,6704.581042252136,4,1
76,43,19,115.4237031654632,1770.627033293177,9,1
77,61,27,111.66813250803274,2357.119158073193,0,1
78,51,1,43.32659019170432,6978.943588688568,6,1
79,27,33,98.08076477498072,7125.730421478475,7,1
80,53,40,82.27003962329401,5161.160009978888,5,0
81,31,32,35.42227391196399,2577.764683576273,0,0
82,48,69,55.67710470865604,1870.047638063216,8,0
83,65,17,37.747294130748244,6833.033324175696,6,0
84,32,8,49.51560388218386,1721.5144877530709,5,1
85,25,57,81.53011757733516,5328.254370391095,3,0
86,31,42,57.52654710434397,7746.831407599644,2,0
87,40,9,59.405951983585716,5671.802000748376,3,0
88,57,35,73.96472926171899,2135.595474000321,0,1
89,38,71,28.722413884172276,2331.7966200681144,8,1
90,33,53,93.87972898494148,833.8687258251528,1,0
91,62,54,60.170953341334005,5521.276170690416,1,0
92,35,25,68.03970882023202,4195.641883564015,2,0
93,64,67,117.42997288546317,1731.1264263357198,0,0
94,41,62,54.4366888318254,1898.5795743404979,9,1
95,43,55,84.82189359739255,171.2939826607466,2,0
96,42,46,59.25043172958107,7829.513252942505,3,0
97,62,24,109.42827186836782,6641.343665773358,8,0
98,58,46,104.67562669950395,3213.942609172963,4,1
99,46,22,44.16242717623843,7574.109821273324,5,0
100,32,11,89.17457126109005,5449.2475193197715,0,1
101,62,48,26.5171995897207,6036.554031459727,2,0
102,18,8,116.318538952989,5471.648449002549,6,1
103,42,39,54.899010801415756,6079.105772438896,6,0
104,24,35,103.1842772584767,1450.4175322710555,9,1
105,26,49,51.84313660773099,4542.944180524904,0,0
106,41,46,83.2770741196872,6810.0725755688145,8,0
107,18,38,118.35907919843318,254.38641336346112,0,1
108,61,8,107.67498631316303,1075.1993317694744,6,1
109,25,54,36.03659099049074,2040.554496322604,1,0
110,41,37,74.74884331494712,2428.340904148648,8,1
111,28,40,54.853178211469015,1543.3605460668066,8,0
112,68,34,63.43388516482918,5032.210080455423,8,1
113,34,17,53.518312921876856,2422.7506624305734,3,1
114,25,33,53.595924819551314,1348.9887653373733,5,1
115,52,47,74.25532437766114,7256.0268392757225,1,0
116,52,52,39.19640091231526,5590.772799223903,2,0
117,50,9,73.73954252333647,2043.8640979434854,5,1
118,22,33,47.89654371983009,2951.533703158257,0,1
119,59,60,48.89829042417996,5952.205946820719,6,1
120,56,21,93.87480290356227,6348.189581206783,1,0
121,58,58,22.959360355993578,1493.84570681981,7,1
122,45,69,58.09457626738071,7498.951064182481,4,0
123,24,10,60.75343801536451,6303.648318021097,6,0
124,26,6,68.51101397181728,6868.834053357445,7,1
125,25,13,86.90110247295387,1236.4845750100646,2,0
126,29,65,56.968678273708655,1232.6005024857259,5,1
127,51,20,41.31371043064551,2512.413869380403,8,0
128,50,57,108.48728405463086,610.7067150372865,3,1
129,65,46,118.1038626681212,819.4318821605901,9,1
130,40,8,22.00146931729328,1231.336528607504,6,1
131,41,10,74.64668510006979,5728.194888211083,0,0
132,54,67,54.17023791091982,338.81930396547347,6,1
133,52,11,47.698957538720926,757.6337728119446,8,0
134,61,12,53.570639086993545,7559.049935866883,9,1
135,57,10,83.88777564262006,760.8877852115182,7,0
136,39,25,39.07160102297949,4345.952725125114,3,0
137,44,49,111.28607116579502,5176.328218875667,2,0
138,52,49,66.61145249394758,7672.888758350831,6,0
139,18,11,52.55768331493284,7208.441471501987,0,0
140,52,62,96.5531331547599,3581.393860774156,7,0
141,54,36,21.634666523619266,7543.0960844003885,0,0
142,64,39,63.18528657380368,3514.900410903553,6,1
143,31,53,55.53036010012299,5392.357852217994,5,1
144,20,56,53.82099099897344,2150.9037586737286,9,0
145,18,1,53.70713620905832,5129.491754527391,7,0
146,22,56,23.12713777472674,4351.692662408457,5,1
147,43,4,35.21164030088398,4893.965237758538,4,1
148,31,30,34.18851593124144,5492.944490535926,8,1
149,56,12,118.8610504819522,1470.2968708068863,3,0
